age,workclass,education_level,education-num,marital_status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native_country,income
3,0,0,9,0,6,0,0,0,513,0,4,0,<=50K
3,0,2,13,0,4,0,0,0,247,0,4,0,<=50K
48,0,0,9,0,7,0,0,0,0,0,4,0,<=50K
42,0,10,16,0,0,0,0,0,0,0,45,0,>50K
29,0,1,1,2,10,1,0,0,0,0,58,0,<=50K
36,0,0,9,0,1,0,0,0,0,0,4,0,<=50K
28,0,1,1,2,3,1,0,1,0,0,4,0,<=50K
53,0,0,9,0,3,4,0,1,0,0,4,0,>50K
49,4,1,1,0,2,0,0,0,0,0,5,0,>50K
19,0,1,1,1,0,2,0,0,0,0,32,0,<=50K
31,0,2,13,3,4,2,1,1,0,0,4,0,<=50K
29,1,2,13,0,4,0,0,0,0,0,7,0,>50K
23,0,1,1,1,6,1,0,0,0,0,4,0,<=50K
79,0,1,1,0,0,5,0,0,0,0,2,0,<=50K
27,0,0,9,1,5,2,0,0,0,0,4,1,<=50K
4,0,5,12,0,3,0,0,0,0,0,4,0,<=50K
18,0,4,7,1,5,2,0,1,0,0,22,0,<=50K
31,2,7,4,0,9,0,0,0,0,0,4,0,<=50K
18,0,0,9,1,4,1,0,0,0,0,3,0,<=50K
52,0,2,13,0,5,0,0,0,0,0,4,8,<=50K
46,0,0,9,0,5,4,0,1,0,0,4,0,<=50K
59,0,0,9,0,4,0,0,0,0,0,48,0,<=50K
44,0,0,9,2,1,1,0,1,14344,0,4,0,>50K
53,0,0,9,2,4,2,0,1,0,0,35,0,<=50K
49,2,0,9,0,11,0,0,0,0,0,4,0,>50K
33,0,15,14,0,0,0,0,0,0,0,5,0,<=50K
3,0,9,5,1,4,1,0,0,0,0,4,0,<=50K
43,5,10,16,1,0,1,0,1,0,0,5,0,>50K
57,0,3,11,0,0,0,0,0,0,0,4,0,<=50K
37,0,1,1,2,1,3,0,1,0,0,4,0,<=50K
28,0,1,1,2,6,3,1,1,0,0,25,0,<=50K
34,2,2,13,0,11,0,0,0,0,0,4,0,>50K
29,2,1,1,1,8,1,0,0,0,0,5,0,<=50K
48,1,10,16,0,0,0,0,0,0,192,6,0,>50K
37,0,1,1,0,4,0,0,0,0,0,48,0,>50K
48,0,5,12,2,2,3,0,1,0,0,4,6,<=50K
32,5,0,9,1,5,2,1,0,0,0,4,0,<=50K
76,0,15,14,0,2,0,0,0,0,0,4,0,>50K
44,0,2,13,0,2,0,0,0,1524,0,6,0,>50K
47,1,15,14,1,0,1,0,1,0,0,5,0,<=50K
2,0,1,1,1,10,2,0,1,0,0,4,0,<=50K
29,0,0,9,1,1,1,0,0,0,0,4,0,<=50K
32,4,0,9,0,1,0,0,0,7688,0,4,0,>50K
3,0,4,7,1,8,2,0,0,0,0,4,0,<=50K
31,2,0,9,1,3,1,0,1,0,0,4,0,<=50K
42,0,0,9,0,8,0,0,0,0,0,4,0,<=50K
24,0,2,13,1,4,5,0,0,0,0,4,0,<=50K
38,0,8,15,0,0,0,0,0,0,0,4,0,>50K
56,1,0,9,0,5,0,0,0,0,1887,5,5,>50K
28,0,1,1,0,4,4,0,1,464,0,25,0,<=50K
36,0,0,9,1,6,2,0,1,0,0,4,0,<=50K
53,0,9,5,0,8,0,0,0,0,0,5,0,<=50K
56,4,1,1,0,4,0,0,0,0,0,5,0,<=50K
49,2,3,11,0,1,0,1,0,0,0,4,0,>50K
55,0,1,1,0,4,0,0,0,0,0,56,0,<=50K
22,0,0,9,1,1,1,0,0,0,0,41,0,<=50K
21,0,1,1,1,5,2,0,1,0,0,4,0,<=50K
4,0,2,13,0,2,0,0,0,0,0,6,0,<=50K
3,0,2,13,1,2,2,1,0,0,0,4,3,<=50K
29,3,2,13,0,0,0,0,0,0,0,5,0,>50K
19,0,1,1,1,5,2,1,0,0,0,35,0,<=50K
47,0,2,13,0,2,4,0,1,0,0,4,0,>50K
2,0,1,1,1,3,2,0,1,0,1719,28,0,<=50K
31,0,5,12,0,3,0,0,0,0,0,4,0,>50K
39,0,1,1,2,1,1,0,0,0,0,4,0,<=50K
28,0,5,12,1,4,1,0,1,0,0,6,0,<=50K
24,0,0,9,1,5,1,0,1,0,1762,4,0,<=50K
38,1,0,9,0,1,0,0,0,4386,0,35,0,<=50K
37,0,2,13,0,4,0,0,0,0,0,5,0,<=50K
46,0,5,12,2,10,1,1,1,0,0,36,0,<=50K
38,5,15,14,0,0,0,0,0,0,0,4,20,>50K
43,1,0,9,0,1,0,0,0,0,0,6,0,<=50K
27,0,3,11,0,3,4,0,1,0,0,35,0,<=50K
2,0,1,1,1,4,2,0,0,0,0,2,0,<=50K
49,0,1,1,0,1,0,2,0,0,0,4,0,>50K
61,4,0,9,0,1,0,0,0,0,0,4,0,<=50K
27,0,1,1,1,4,2,0,1,0,0,4,0,<=50K
19,0,1,1,1,5,2,0,0,0,0,3,1,<=50K
45,0,3,11,1,0,1,0,1,0,1564,4,0,>50K
7,0,1,1,1,10,5,0,0,0,0,4,0,<=50K
31,0,0,9,1,7,3,1,1,0,0,3,0,<=50K
22,0,1,1,0,5,0,0,0,0,0,24,0,<=50K
36,0,0,9,4,5,3,0,1,0,0,24,0,<=50K
64,0,4,7,0,1,0,0,0,0,2179,4,0,<=50K
47,2,1,1,2,3,3,0,1,0,0,38,1,<=50K
34,0,0,9,1,3,1,0,1,0,0,4,0,<=50K
33,0,2,13,1,2,5,2,1,0,0,4,2,<=50K
21,0,0,9,1,1,2,0,0,0,0,35,0,<=50K
48,0,0,9,0,1,0,0,0,0,0,46,0,<=50K
23,0,2,13,1,8,1,0,0,0,0,4,0,<=50K
71,1,1,1,3,4,3,1,0,0,1816,2,0,<=50K
29,0,0,9,2,1,1,0,0,0,0,6,0,<=50K
42,0,2,13,3,5,5,1,0,0,0,5,0,<=50K
25,0,0,9,1,5,3,0,1,0,0,4,0,<=50K
44,4,15,14,2,2,3,2,1,0,0,4,0,<=50K
28,0,0,9,1,2,1,2,1,0,0,4,6,<=50K
45,1,15,14,0,4,0,0,0,0,0,4,0,>50K
36,0,1,1,2,5,3,0,1,0,0,4,1,<=50K
39,5,5,12,1,2,1,0,0,0,0,42,0,<=50K
46,3,15,14,4,11,3,0,0,0,0,4,0,<=50K
18,0,4,7,1,8,2,0,0,0,0,16,0,<=50K
66,2,3,11,4,0,1,0,1,0,0,2,0,<=50K
27,0,0,9,1,5,1,0,0,0,198,4,0,<=50K
28,3,0,9,0,11,0,0,0,0,0,4,0,<=50K
51,0,1,1,0,4,0,0,0,0,1977,4,0,>50K
27,0,2,13,1,1,1,0,0,0,0,5,0,<=50K
28,3,2,13,0,0,0,0,0,0,0,4,0,>50K
27,0,0,9,5,4,3,0,1,0,0,25,0,<=50K
21,0,0,9,1,1,2,1,0,0,0,4,0,<=50K
34,0,0,9,1,8,1,1,0,0,0,4,0,<=50K
18,0,0,9,1,5,2,0,0,0,0,12,0,<=50K
33,0,2,13,0,0,0,0,0,0,0,65,0,<=50K
44,2,1,1,0,2,0,1,0,0,0,38,0,>50K
43,0,1,1,2,3,1,0,1,0,0,4,0,<=50K
3,0,1,1,1,1,1,1,0,0,0,45,0,<=50K
4,0,7,4,0,6,0,0,0,0,0,4,1,>50K
37,5,1,1,0,3,0,0,0,0,0,42,0,>50K
34,0,0,9,0,3,0,1,0,0,0,4,0,<=50K
41,1,2,13,2,2,1,0,1,0,0,4,0,<=50K
31,0,15,14,0,0,4,0,1,0,0,5,0,<=50K
58,3,10,16,0,0,0,0,0,0,0,1,0,>50K
38,0,1,1,2,6,1,1,1,0,0,28,0,<=50K
24,0,1,1,0,6,0,0,0,0,0,4,0,<=50K
41,2,2,13,0,1,0,1,0,0,0,4,0,<=50K
47,0,1,1,0,10,0,0,0,0,0,45,0,<=50K
41,5,2,13,0,10,0,0,0,0,0,24,0,<=50K
23,0,12,3,0,7,5,0,0,0,0,4,1,<=50K
36,0,1,1,2,1,1,0,0,0,0,4,0,<=50K
4,5,15,14,1,2,1,0,1,1484,0,55,0,>50K
35,0,15,14,0,0,5,0,0,7298,0,4,0,>50K
24,1,0,9,1,4,1,0,0,0,0,4,0,<=50K
26,0,15,14,1,0,1,0,1,0,1876,4,0,<=50K
51,0,2,13,0,2,0,0,0,0,0,5,0,>50K
42,2,1,1,1,0,1,0,1,0,134,4,0,<=50K
37,3,0,9,2,3,3,0,1,0,0,35,0,<=50K
18,0,4,7,1,4,2,0,1,0,0,4,0,<=50K
36,0,2,13,0,5,0,1,0,7298,0,36,0,>50K
35,0,0,9,2,1,1,0,0,0,0,6,0,<=50K
58,4,0,9,0,4,4,0,1,1524,0,35,0,>50K
17,0,4,7,1,4,2,0,1,0,0,12,0,<=50K
44,2,0,9,0,7,0,1,0,0,0,4,0,<=50K
37,0,0,9,0,1,0,0,0,0,0,4,0,>50K
35,0,1,1,1,4,1,3,1,0,0,4,0,<=50K
6,0,0,9,0,1,0,2,0,0,0,4,0,<=50K
54,4,7,4,0,6,0,0,0,0,0,4,0,>50K
37,0,2,13,1,2,1,1,0,0,0,6,0,>50K
5,0,5,12,2,4,1,0,1,0,0,4,0,<=50K
38,0,2,13,0,4,0,0,0,0,0,5,13,<=50K
45,0,2,13,0,0,0,0,0,0,0,55,0,<=50K
25,0,6,6,1,1,1,0,0,0,0,4,0,<=50K
31,0,1,1,0,8,0,0,0,0,0,4,0,<=50K
9,0,0,9,1,5,1,1,0,0,226,4,0,<=50K
54,0,0,9,0,3,0,1,0,0,0,2,0,<=50K
53,2,14,1,1,6,1,0,1,0,0,35,0,<=50K
18,0,0,9,1,4,2,0,1,0,0,4,0,<=50K
66,1,0,9,0,9,0,0,0,149,0,5,0,<=50K
75,0,3,11,4,3,1,0,1,0,0,2,19,<=50K
65,0,0,9,2,3,1,0,1,0,0,4,0,<=50K
35,0,4,7,3,7,1,1,0,3674,0,4,0,<=50K
41,0,0,9,2,4,3,1,1,0,0,38,0,<=50K
25,0,1,1,1,3,1,0,0,0,0,42,0,<=50K
33,0,1,1,2,1,5,4,1,0,0,4,0,<=50K
28,0,8,15,1,0,1,0,0,0,0,55,0,>50K
59,3,0,9,0,5,0,0,0,0,0,4,0,<=50K
4,3,1,1,1,3,1,0,1,0,0,38,0,<=50K
41,0,2,13,0,2,0,0,0,0,0,5,20,>50K
38,2,15,14,0,2,0,0,0,0,0,7,0,>50K
23,0,0,9,1,7,2,0,0,0,0,4,0,<=50K
4,0,2,13,0,0,0,0,0,0,0,4,0,>50K
41,1,0,9,0,5,4,0,1,0,0,2,0,<=50K
24,3,5,12,0,11,0,0,0,0,0,5,0,<=50K
38,0,1,1,2,1,1,0,0,0,1741,4,0,<=50K
58,0,0,9,0,3,0,0,0,0,0,45,0,>50K
32,0,0,9,1,5,1,0,1,0,0,34,0,<=50K
4,0,5,12,0,10,0,0,0,0,1977,6,0,>50K
41,0,8,15,0,0,4,0,1,0,0,4,0,>50K
42,0,2,13,0,3,4,1,1,0,0,4,0,<=50K
59,2,6,6,4,5,3,1,1,0,0,3,0,<=50K
19,2,1,1,1,3,2,0,0,0,0,4,0,<=50K
58,0,1,1,1,7,1,0,0,0,0,2,0,<=50K
42,1,0,9,0,9,0,2,0,0,0,4,29,>50K
2,0,0,9,1,5,2,0,1,0,0,4,0,<=50K
32,0,0,9,3,5,1,0,1,0,0,3,0,<=50K
45,0,3,11,4,2,1,0,1,0,0,45,0,<=50K
5,0,7,4,2,1,1,0,0,0,0,4,0,<=50K
36,0,2,13,2,0,2,0,1,0,0,4,0,<=50K
45,0,0,9,0,4,0,0,0,0,0,6,0,<=50K
17,0,4,7,1,5,2,0,0,0,0,12,0,<=50K
59,0,1,1,0,4,0,0,0,464,0,4,0,<=50K
26,0,4,7,0,1,0,0,0,0,0,4,0,<=50K
37,4,1,1,0,2,0,2,0,0,0,75,31,>50K
64,0,0,9,0,2,0,0,0,0,0,4,0,>50K
33,0,2,13,1,0,1,0,1,0,0,45,0,<=50K
33,0,0,9,0,1,4,0,1,0,0,4,0,>50K
61,0,0,9,0,2,0,0,0,0,0,4,0,>50K
17,0,9,5,1,5,2,0,0,155,0,24,0,<=50K
5,1,15,14,0,9,0,0,0,247,0,98,0,<=50K
27,2,15,14,1,0,2,0,0,0,0,35,0,<=50K
3,0,0,9,2,0,2,0,1,0,0,4,0,<=50K
43,0,0,9,0,8,0,1,0,0,0,4,0,<=50K
44,0,1,1,0,1,0,0,0,7298,0,4,0,>50K
35,0,1,1,1,2,1,0,1,0,0,4,0,<=50K
25,0,1,1,1,10,2,0,1,0,0,4,0,<=50K
24,0,1,1,0,6,4,0,1,7298,0,48,0,>50K
22,0,2,13,1,0,1,0,1,0,0,15,3,<=50K
42,2,1,1,0,1,0,0,0,5178,0,4,0,>50K
34,0,5,12,2,4,3,1,1,0,0,45,0,<=50K
6,0,2,13,2,0,1,0,1,0,0,42,0,<=50K
21,0,0,9,1,8,2,0,0,0,0,4,0,<=50K
57,5,15,14,0,4,0,0,0,1524,0,4,0,>50K
41,0,8,15,0,0,0,0,0,0,0,6,0,>50K
5,0,1,1,2,5,1,0,0,0,0,45,0,<=50K
25,0,2,13,1,2,1,0,1,0,0,4,0,<=50K
5,0,7,4,0,1,0,0,0,0,0,4,28,<=50K
36,0,2,13,0,0,0,0,0,0,0,45,0,<=50K
31,0,0,9,2,0,1,0,1,0,0,4,0,<=50K
29,2,2,13,1,11,1,0,0,0,0,56,0,<=50K
21,0,1,1,1,4,2,0,0,0,0,45,0,<=50K
27,0,2,13,1,10,3,1,1,0,0,4,0,<=50K
65,0,0,9,0,7,0,0,0,0,0,16,0,<=50K
37,4,2,13,2,4,1,0,1,0,0,6,0,<=50K
24,0,0,9,1,1,2,0,0,0,0,4,0,<=50K
38,0,0,9,2,4,1,0,0,0,0,8,0,<=50K
48,0,2,13,0,3,0,0,0,7688,0,4,0,>50K
21,0,1,1,1,5,1,2,1,0,0,25,0,<=50K
31,0,0,9,0,7,0,0,0,0,0,45,0,>50K
55,0,0,9,0,4,0,0,0,4386,0,4,0,>50K
24,0,1,1,0,3,4,2,1,0,0,4,37,<=50K
43,0,0,9,2,3,1,0,1,0,0,4,0,<=50K
26,0,5,12,1,10,1,0,0,0,0,45,0,<=50K
46,0,5,12,1,0,1,0,1,0,0,33,0,<=50K
35,0,5,12,0,3,0,0,0,0,0,4,0,>50K
41,4,1,1,0,9,0,0,0,0,0,54,0,>50K
26,0,2,13,1,4,1,0,0,0,0,4,0,<=50K
34,0,15,14,0,2,0,2,0,7298,0,35,22,>50K
36,1,2,13,2,0,1,1,1,0,0,4,0,>50K
22,0,1,1,1,4,2,0,0,0,0,15,0,<=50K
24,0,1,1,1,6,1,0,0,0,0,4,0,<=50K
77,1,1,1,0,4,0,0,0,0,0,4,0,<=50K
22,0,12,3,0,6,5,0,1,0,0,4,1,<=50K
29,0,1,1,1,10,1,0,1,0,0,4,0,<=50K
62,0,0,9,4,5,1,0,1,0,0,24,0,<=50K
39,1,0,9,0,2,0,0,0,0,0,4,0,<=50K
43,0,1,1,0,1,0,0,0,0,1485,5,0,<=50K
35,0,0,9,2,7,1,0,0,0,0,45,0,<=50K
29,0,4,7,1,2,1,0,1,0,0,4,0,<=50K
76,1,15,14,0,1,0,0,0,0,0,1,0,<=50K
63,1,0,9,0,9,0,0,0,0,0,45,0,<=50K
43,0,1,1,0,0,4,0,1,0,1887,5,0,>50K
58,1,0,9,0,8,0,0,0,0,0,4,0,<=50K
66,0,0,9,1,7,1,0,0,25,0,55,0,<=50K
41,0,1,1,1,1,1,1,0,0,0,45,0,<=50K
26,0,2,13,1,3,1,0,0,0,0,4,0,<=50K
47,0,3,11,1,5,1,0,0,0,0,4,0,<=50K
55,2,6,6,0,3,0,0,0,0,0,4,0,<=50K
53,0,0,9,0,7,0,0,0,0,0,4,0,<=50K
17,0,12,3,1,5,5,0,0,0,0,48,1,<=50K
3,0,0,9,1,1,5,0,0,0,0,4,0,<=50K
49,0,15,14,1,0,1,0,0,0,0,6,0,<=50K
19,0,0,9,1,4,3,1,0,0,0,3,21,<=50K
45,0,0,9,0,5,0,1,0,0,0,4,0,<=50K
26,0,5,12,1,4,1,0,0,0,0,4,0,<=50K
38,0,3,11,0,1,0,0,0,7298,0,4,0,>50K
36,3,0,9,0,11,0,0,0,7298,0,4,0,>50K
33,0,0,9,1,9,1,0,0,0,0,2,0,<=50K
22,3,1,1,1,11,2,1,1,0,0,4,0,<=50K
43,1,2,13,1,4,1,0,0,0,0,42,0,<=50K
56,0,5,12,5,5,1,0,0,0,0,25,20,<=50K
31,0,2,13,1,0,2,0,0,0,0,25,0,<=50K
33,0,2,13,0,2,0,0,0,0,0,4,0,>50K
26,0,0,9,0,5,0,0,0,0,0,4,0,<=50K
33,0,2,13,0,2,0,0,0,0,0,4,0,>50K
46,2,4,7,0,7,0,0,0,0,0,3,0,<=50K
38,5,0,9,0,3,0,0,0,0,0,4,0,>50K
65,0,4,7,4,5,3,4,0,0,0,4,0,<=50K
4,0,3,11,0,10,0,0,0,0,0,4,0,>50K
42,0,0,9,0,3,4,0,1,0,0,35,0,<=50K
26,1,9,5,0,1,0,0,0,0,0,4,24,<=50K
36,0,6,6,0,5,4,0,1,0,0,24,0,<=50K
62,0,15,14,0,0,0,0,0,0,0,4,0,>50K
43,0,2,13,0,7,0,0,0,0,0,45,0,<=50K
43,0,2,13,2,2,1,0,0,0,1564,45,0,>50K
22,0,0,9,5,4,1,0,0,0,0,55,0,<=50K
28,0,0,9,0,1,0,0,0,0,0,4,0,<=50K
56,1,1,1,0,4,0,0,0,0,0,45,0,<=50K
22,0,5,12,1,4,1,0,1,0,0,15,0,<=50K
57,0,2,13,2,2,1,0,1,0,0,45,0,>50K
39,0,0,9,2,4,3,0,1,0,0,4,0,<=50K
26,5,1,1,1,3,3,0,1,0,0,15,0,<=50K
17,0,4,7,1,5,2,0,0,0,0,1,0,<=50K
4,3,3,11,0,6,0,0,0,0,0,38,0,>50K
45,0,0,9,0,6,0,1,0,0,0,4,0,<=50K
44,0,0,9,1,1,1,1,0,0,0,4,0,<=50K
2,2,1,1,1,3,2,0,1,0,0,1,0,<=50K
33,0,0,9,0,1,4,0,1,0,0,4,0,<=50K
23,0,1,1,1,4,1,0,0,0,0,4,0,<=50K
46,1,15,14,2,2,1,0,0,0,0,3,0,<=50K
38,0,0,9,0,4,0,0,0,0,0,5,0,<=50K
54,0,0,9,2,7,1,0,0,0,0,4,0,<=50K
46,0,12,3,2,1,1,0,1,0,2339,45,0,<=50K
25,0,1,1,0,1,0,0,0,0,0,4,0,<=50K
46,0,1,1,2,4,1,0,1,0,0,4,0,<=50K
36,2,1,1,0,7,4,0,1,0,0,4,0,<=50K
23,0,0,9,1,5,1,0,1,0,0,25,0,<=50K
29,0,0,9,3,6,1,0,0,0,0,4,0,<=50K
44,0,1,1,0,3,4,0,1,0,2415,6,0,>50K
19,0,1,1,1,3,2,0,1,0,0,16,0,<=50K
19,0,0,9,1,5,5,0,1,0,0,4,0,<=50K
35,0,0,9,0,5,4,0,1,0,0,4,0,>50K
27,0,2,13,1,1,1,0,0,0,0,5,0,<=50K
46,1,5,12,3,1,1,0,0,0,0,4,0,<=50K
34,0,0,9,1,5,1,0,1,0,0,35,0,<=50K
44,0,1,1,0,10,0,0,0,0,0,4,0,<=50K
45,0,1,1,2,8,3,0,1,0,0,4,0,<=50K
25,0,2,13,0,2,0,0,0,0,0,55,0,>50K
52,4,2,13,0,2,0,0,0,0,0,5,0,>50K
2,0,1,1,1,8,2,0,0,0,0,4,0,<=50K
28,0,1,1,1,5,1,0,1,0,0,4,0,<=50K
5,3,2,13,0,11,0,0,0,0,0,4,0,>50K
34,0,3,11,2,10,1,0,1,0,0,64,0,<=50K
28,0,7,4,0,8,0,4,0,0,2179,4,4,<=50K
41,0,15,14,0,2,0,0,0,0,1977,65,0,>50K
28,0,0,9,0,3,0,0,0,0,0,4,0,<=50K
46,1,0,9,0,1,0,0,0,0,0,25,0,<=50K
32,0,1,1,0,2,0,0,0,0,0,5,0,<=50K
41,2,1,1,2,5,1,1,1,0,0,24,0,<=50K
24,0,0,9,1,8,3,1,1,0,0,4,0,<=50K
33,0,1,1,2,2,3,0,1,0,0,4,0,<=50K
46,0,10,16,0,2,0,0,0,1524,0,6,0,>50K
31,3,1,1,0,6,0,0,0,0,0,4,0,<=50K
35,0,11,8,2,1,1,0,0,0,0,5,0,>50K
52,0,13,2,0,6,0,0,0,0,0,4,1,<=50K
3,0,4,7,1,5,2,0,1,0,0,19,0,<=50K
34,2,4,7,3,6,1,1,0,0,0,4,0,<=50K
34,3,0,9,2,7,3,0,1,0,0,4,0,<=50K
2,0,1,1,0,4,0,0,0,0,0,3,0,<=50K
17,0,4,7,1,8,2,0,0,2176,0,18,0,<=50K
32,3,2,13,0,2,4,0,1,0,0,4,0,>50K
29,0,0,9,2,9,1,0,0,0,0,4,0,<=50K
33,0,6,6,1,1,3,0,1,0,0,35,0,<=50K
25,0,0,9,0,7,0,0,0,0,0,6,0,<=50K
36,5,15,14,1,0,1,0,0,0,148,4,0,<=50K
23,0,0,9,1,8,1,0,0,0,0,72,15,<=50K
63,4,0,9,0,2,0,0,0,0,0,4,0,>50K
47,2,15,14,0,0,0,0,0,0,0,4,0,<=50K
4,1,2,13,5,0,1,0,1,2174,0,4,0,<=50K
3,0,5,12,0,5,4,0,1,0,0,25,0,>50K
27,0,1,1,1,1,2,2,0,0,198,4,2,<=50K
33,0,15,14,0,0,0,0,0,0,0,5,0,>50K
34,2,0,9,1,9,1,1,0,594,0,6,0,<=50K
34,2,1,1,1,11,1,0,1,0,0,4,0,<=50K
23,0,1,1,0,3,0,0,0,0,0,4,0,<=50K
42,2,1,1,0,3,4,0,1,0,0,4,0,<=50K
29,0,2,13,1,0,1,0,0,0,0,4,0,<=50K
45,0,0,9,2,3,1,0,1,0,0,28,0,<=50K
24,5,0,9,1,13,2,0,0,0,0,4,0,<=50K
44,0,1,1,0,0,0,0,0,0,0,4,0,>50K
27,0,9,5,1,1,5,0,0,0,0,4,1,<=50K
2,0,1,1,1,4,1,0,0,0,0,35,0,<=50K
44,0,0,9,4,2,3,1,1,0,0,4,0,<=50K
51,0,0,9,0,1,0,3,0,0,0,4,0,<=50K
2,0,0,9,0,6,0,0,0,0,0,4,0,<=50K
19,0,0,9,1,6,2,1,1,0,0,4,0,<=50K
45,4,1,1,0,1,0,0,0,0,0,55,0,>50K
6,0,0,9,0,1,0,0,0,0,0,4,0,>50K
44,1,0,9,0,4,4,0,1,0,0,4,0,>50K
4,0,3,11,0,6,0,2,0,0,0,4,0,>50K
3,0,0,9,0,2,4,0,1,0,0,4,0,<=50K
38,0,1,1,0,7,0,1,0,0,0,5,0,<=50K
23,0,0,9,0,7,0,0,0,0,0,6,0,<=50K
44,0,5,12,1,9,2,0,0,0,0,4,0,<=50K
54,2,0,9,0,7,0,1,0,0,0,4,0,<=50K
32,0,2,13,0,0,0,0,0,0,0,5,0,<=50K
5,0,13,2,5,1,3,0,0,0,0,4,0,<=50K
24,0,2,13,1,10,1,0,1,0,0,2,0,<=50K
37,0,0,9,0,3,4,0,1,0,0,6,0,<=50K
52,0,0,9,2,7,3,0,0,0,0,4,0,<=50K
38,0,1,1,0,7,0,0,0,0,0,4,0,<=50K
49,0,15,14,0,2,0,0,0,0,1977,45,0,>50K
3,0,2,13,0,10,4,0,1,0,0,16,0,>50K
6,0,1,1,1,0,3,0,0,0,0,4,0,>50K
35,0,0,9,1,1,1,0,0,0,0,4,0,<=50K
3,0,0,9,1,7,1,0,0,0,0,6,0,<=50K
67,0,3,11,2,5,1,0,1,0,0,24,0,<=50K
46,0,2,13,1,1,1,0,1,0,0,4,0,<=50K
17,0,9,5,1,5,1,0,0,0,0,6,0,<=50K
22,0,1,1,1,8,2,0,0,0,0,3,0,<=50K
27,0,6,6,1,5,1,0,0,0,0,4,0,<=50K
23,0,0,9,1,5,3,0,1,0,0,35,0,<=50K
33,0,5,12,0,1,0,0,0,0,0,45,24,<=50K
43,1,1,1,0,1,0,0,0,0,0,2,0,<=50K
28,3,2,13,1,0,1,0,0,0,0,2,0,<=50K
41,0,0,9,5,1,3,0,1,0,0,4,0,<=50K
25,0,1,1,5,3,2,1,1,0,0,2,0,<=50K
